44.910 45.405 -13.095 -12.420 0.045 0.045 1 1 1 1 0. Mayotte SHOM 1953 dans RGM04
45.36	-12.51	-21.37	99
45.36	-12.465	-21.601	99
45.36	-12.42	-21.819	99
45.405	-13.095	-21.261	99
45.405	-13.05	-21.019	99
45.405	-13.005	-20.767	99
45.405	-12.96	-20.717	99
45.405	-12.915	-20.679	99
45.405	-12.87	-20.605	99
45.405	-12.825	-20.597	99
45.405	-12.78	-20.526	99
45.405	-12.735	-20.494	99
45.405	-12.69	-20.817	99
45.405	-12.645	-21.024	99
45.405	-12.6	-21.256	99
45.405	-12.555	-21.484	99
45.405	-12.51	-21.717	99
45.405	-12.465	-21.932	99
45.405	-12.42	-22.134	99
